mjd,mag,magerr,filter
1329.495728,16.128660,0.018379,1
1329.516479,16.125042,0.018313,1
1329.537354,16.125877,0.018313,1
1329.558228,16.127094,0.018350,1
1329.578979,16.128164,0.018394,1
1329.599854,16.127304,0.018348,1
1329.620728,16.126564,0.018315,1
1329.641479,16.125246,0.018288,1
1329.662354,16.129276,0.018394,1
1329.683228,16.123919,0.018281,1
1329.703979,16.124519,0.018307,1
1329.724854,16.125477,0.018326,1
1329.745728,16.124931,0.018292,1
1329.766479,16.124704,0.018294,1
1329.787354,16.121508,0.018274,1
1329.808228,16.124063,0.018297,1
1329.828979,16.122894,0.018304,1
1329.849854,16.123930,0.018300,1
1329.870728,16.129770,0.018389,1
1329.891479,16.132195,0.018427,1
1329.912354,16.138235,0.018538,1
1329.933228,16.136238,0.018525,1
1329.953979,16.135372,0.018512,1
1329.974854,16.129229,0.018388,1
1329.995728,16.122746,0.018309,1
1330.016479,16.121727,0.018276,1
1330.037354,16.121433,0.018277,1
1330.058228,16.120684,0.018252,1
1330.078979,16.120697,0.018243,1
1330.099854,16.121300,0.018270,1
1330.120728,16.122427,0.018284,1
1330.141479,16.121914,0.018266,1
1330.162354,16.122713,0.018287,1
1330.183228,16.121643,0.018275,1
1330.203979,16.119356,0.018236,1
1330.224854,16.122456,0.018254,1
1330.245728,16.121962,0.018285,1
1330.266479,16.123114,0.018333,1
1330.287354,16.123659,0.018299,1
1330.308228,16.123171,0.018295,1
1330.328979,16.124836,0.018316,1
1330.349854,16.145279,0.019719,1
1330.370728,16.123459,0.018264,1
1330.391479,16.125299,0.018296,1
1330.412354,16.125263,0.018321,1
1330.433228,16.125837,0.018332,1
1330.454102,16.126778,0.018336,1
1330.474854,16.129112,0.018351,1
1330.495728,16.125679,0.018305,1
1330.516602,16.128174,0.018343,1
1330.537354,16.132511,0.018436,1
1330.558228,16.129519,0.018373,1
1330.579102,16.132467,0.018408,1
1330.599854,16.133183,0.018440,1
1330.620728,16.132160,0.018421,1
1330.641602,16.133007,0.018435,1
1330.662354,16.134233,0.018470,1
1330.683228,16.168756,0.019066,1
1330.704102,16.227057,0.020110,1
1330.724854,16.245876,0.020458,1
1330.745728,16.244764,0.020457,1
1330.766602,16.232296,0.020212,1
1330.787354,16.177927,0.019231,1
1330.808228,16.137383,0.018516,1
1330.829102,16.134951,0.018474,1
1330.849854,16.133072,0.018451,1
1330.870728,16.133732,0.018449,1
1330.891602,16.132732,0.018463,1
1330.912354,16.134087,0.018457,1
1330.933228,16.129635,0.018383,1
1330.954102,16.131765,0.018420,1
1330.974854,16.132814,0.018450,1
1330.995728,16.132008,0.018420,1
1331.016602,16.128328,0.018369,1
1331.037354,16.131067,0.018402,1
1331.058228,16.130814,0.018405,1
1331.079102,16.127092,0.018324,1
1331.099854,16.128658,0.018368,1
1331.120728,16.127205,0.018358,1
1331.141602,16.125168,0.018323,1
1331.162354,16.127563,0.018348,1
1331.183228,16.124067,0.018289,1
1331.204102,16.126293,0.018323,1
1331.224854,16.126562,0.018329,1
1331.245728,16.121405,0.018269,1
1331.266602,16.122227,0.018280,1
1331.287354,16.124117,0.018285,1
1331.308228,16.121840,0.018260,1
1331.329102,16.124043,0.018284,1
1331.349854,16.121906,0.018248,1
1331.370728,16.123066,0.018284,1
1331.391602,16.122589,0.018265,1
1331.412354,16.120989,0.018245,1
1331.433228,16.122950,0.018261,1
1331.454102,16.122122,0.018264,1
1331.474854,16.123499,0.018284,1
1331.495728,16.123775,0.018280,1
1331.516602,16.131624,0.018425,1
1331.537354,16.133942,0.018454,1
1331.558228,16.132410,0.018411,1
1331.579102,16.135975,0.018485,1
1331.599854,16.129608,0.018377,1
1331.620728,16.125231,0.018316,1
1331.641602,16.119778,0.018213,1
1331.662354,16.122520,0.018248,1
1331.683228,16.121075,0.018265,1
1331.704102,16.122341,0.018252,1
1331.724854,16.121864,0.018250,1
1331.745728,16.118492,0.018246,1
1331.766602,16.120392,0.018240,1
1331.787354,16.119961,0.018247,1
1331.808228,16.121740,0.018243,1
1331.829102,16.119789,0.018266,1
1331.849854,16.120447,0.018241,1
1331.870728,16.122734,0.018274,1
1331.891602,16.121960,0.018243,1
1331.912354,16.122181,0.018268,1
1331.933228,16.122082,0.018292,1
1331.954102,16.123693,0.018310,1
1331.974854,16.122911,0.018259,1
1331.995728,16.122366,0.018270,1
1332.016602,16.125715,0.018326,1
1332.037354,16.124628,0.018294,1
1332.058228,16.125048,0.018282,1
1332.079102,16.125231,0.018315,1
1332.099854,16.128685,0.018384,1
1332.120728,16.128523,0.018338,1
1332.141602,16.129667,0.018401,1
1332.162354,16.129574,0.018385,1
1332.183228,16.132072,0.018444,1
1332.204102,16.130047,0.018417,1
1332.224976,16.130379,0.018398,1
1332.245728,16.133535,0.018471,1
1332.266602,16.133987,0.018469,1
1332.287476,16.133022,0.018484,1
1332.308228,16.149336,0.018751,1
1332.329102,16.207766,0.019792,1
1332.349976,16.242760,0.020414,1
1332.370728,16.246193,0.020497,1
1332.391602,16.243088,0.020413,1
1332.412476,16.198416,0.019635,1
1332.433228,16.147873,0.018723,1
1332.454102,16.135824,0.018509,1
1332.474976,16.137074,0.018525,1
1332.495728,16.136763,0.018514,1
1332.516602,16.135954,0.018508,1
1332.537476,16.136368,0.018524,1
1332.558228,16.134785,0.018465,1
1332.579102,16.135336,0.018461,1
1332.599976,16.132441,0.018450,1
1332.620728,16.131279,0.018422,1
1332.641602,16.134039,0.018466,1
1332.662476,16.133778,0.018477,1
1332.683228,16.132912,0.018459,1
1332.704102,16.130812,0.018427,1
1332.724976,16.130232,0.018437,1
1332.745728,16.126350,0.018390,1
1332.766602,16.126303,0.018359,1
1332.787476,16.125151,0.018308,1
